N	pi_value
460000	3.1378782608695652
461000	3.137943600867679
462000	3.1378961038961037
463000	3.137943844492441
464000	3.137905172413793
465000	3.1378494623655913
466000	3.137802575107296
467000	3.137867237687366
468000	3.137777777777778
469000	3.138038379530917
470000	3.1379914893617022
471000	3.137876857749469
472000	3.137991525423729
473000	3.1380042283298097
474000	3.1378902953586496
475000	3.137978947368421
476000	3.1379411764705885
477000	3.1380377358490565
478000	3.138050209205021
479000	3.138104384133612
480000	3.13825
481000	3.1382286902286904
482000	3.1381659751037345
483000	3.138053830227743
484000	3.13797520661157
485000	3.1377649484536083
486000	3.1377942386831275
487000	3.1379630390143736
488000	3.1377540983606558
489000	3.1376605316973416
490000	3.137526530612245
491000	3.13769450101833
492000	3.1377560975609757
493000	3.1377281947261664
494000	3.1376194331983807
495000	3.137680808080808
496000	3.13775
497000	3.137682092555332
498000	3.1375100401606426
499000	3.1374188376753507
500000	3.137416
501000	3.1374131736526945
502000	3.1374581673306774
503000	3.1375427435387673
504000	3.1374761904761903
505000	3.137330693069307
506000	3.137304347826087
507000	3.1373333333333333
508000	3.1374724409448818
509000	3.1373909626719056
510000	3.137458823529412
511000	3.1376908023483367
512000	3.1377578125
513000	3.1378245614035087
514000	3.137992217898833
515000	3.1379106796116503
516000	3.1379612403100774
517000	3.1380812379110252
518000	3.137907335907336
519000	3.137818882466281
520000	3.1377923076923078
521000	3.1377428023032627
522000	3.1377471264367816
523000	3.1377667304015295
524000	3.1379923664122136
525000	3.137912380952381
526000	3.1378022813688213
527000	3.1378823529411766
528000	3.137856060606061
529000	3.1379508506616256
530000	3.1379924528301886
531000	3.137951035781544
532000	3.1379398496240603
533000	3.1378086303939963
534000	3.1376554307116105
535000	3.137682242990654
536000	3.137686567164179
537000	3.1377951582867785
538000	3.1376877323420076
539000	3.137640074211503
540000	3.1375777777777776
541000	3.1375748613678374
542000	3.1376974169741696
543000	3.137878453038674
544000	3.137669117647059
545000	3.1376880733944956
546000	3.1376996336996337
547000	3.1377111517367458
548000	3.137729927007299
549000	3.137879781420765
550000	3.137810909090909
551000	3.1378729582577134
552000	3.137731884057971
553000	3.137786618444846
554000	3.137870036101083
555000	3.1377009009009007
556000	3.1376330935251797
557000	3.1377666068222623
558000	3.137856630824373
559000	3.137710196779964
560000	3.13775
561000	3.137832442067736
562000	3.1378220640569396
563000	3.137982238010657
564000	3.137929078014184
565000	3.138003539823009
566000	3.1379505300353356
567000	3.1378765432098765
568000	3.1378239436619717
569000	3.1378277680140596
570000	3.1376771929824563
571000	3.137597197898424
572000	3.1375454545454544
573000	3.1375916230366494
574000	3.137491289198606
575000	3.1374330434782607
576000	3.137375
577000	3.137199306759099
578000	3.137280276816609
579000	3.1373402417962004
580000	3.137255172413793
581000	3.1373356282271945
582000	3.1374364261168384
583000	3.137509433962264
584000	3.1376986301369865
585000	3.1377299145299147
586000	3.1377337883959044
587000	3.1376149914821125
588000	3.137503401360544
589000	3.1376570458404074
590000	3.137620338983051
591000	3.1375160744500845
592000	3.137641891891892
593000	3.1376053962900508
594000	3.137656565656566
595000	3.1375327731092435
596000	3.1374026845637584
597000	3.1372596314907875
598000	3.13723745819398
599000	3.1371218697829715
600000	3.137086666666667
601000	3.1372379367720464
602000	3.1372624584717608
603000	3.1373134328358208
604000	3.137403973509934
605000	3.137421487603306
606000	3.1373729372937293
607000	3.13731136738056
608000	3.1375065789473684
609000	3.1373333333333333
610000	3.137311475409836
611000	3.137198036006547
612000	3.1371241830065357
613000	3.137168026101142
614000	3.1373224755700324
615000	3.137268292682927
616000	3.1374025974025974
617000	3.1374975688816855
618000	3.1375404530744335
619000	3.137777059773829
620000	3.1377806451612904
621000	3.1377326892109503
622000	3.1376913183279744
623000	3.1377720706260033
624000	3.1376794871794873
625000	3.1377088
626000	3.137776357827476
627000	3.1376076555023924
628000	3.1376305732484076
629000	3.1376406995230526
630000	3.1377079365079363
631000	3.137838351822504
632000	3.1378987341772153
633000	3.1379336492890997
634000	3.137917981072555
635000	3.13795905511811
636000	3.137874213836478
637000	3.1380470957613813
638000	3.1379811912225706
639000	3.138003129890454
640000	3.138075
641000	3.1381404056162245
642000	3.1381806853582557
643000	3.1381150855365476
644000	3.1380310559006213
645000	3.138232558139535
646000	3.1382476780185757
647000	3.138367851622875
648000	3.1383765432098767
649000	3.1382557781201847
650000	3.1383015384615383
651000	3.138132104454685
652000	3.1382576687116566
653000	3.138333843797856
654000	3.1382935779816514
655000	3.138174045801527
656000	3.138121951219512
657000	3.1381613394216132
658000	3.138036474164134
659000	3.13806373292868
660000	3.1381454545454543
661000	3.1380937972768534
662000	3.138187311178248
663000	3.138184012066365
664000	3.1381626506024096
665000	3.1381834586466164
666000	3.1383783783783783
667000	3.1384047976011993
668000	3.1385389221556887
669000	3.13854110612855
670000	3.138489552238806
671000	3.138503725782414
672000	3.1385238095238095
673000	3.138478454680535
674000	3.1386231454005933
675000	3.1385955555555554
676000	3.1384260355029587
677000	3.1383810930576073
678000	3.1383893805309735
679000	3.138580265095729
680000	3.138576470588235
681000	3.1387782672540383
682000	3.1387038123167157
683000	3.138600292825769
684000	3.138672514619883
685000	3.1387094890510947
686000	3.1386530612244896
687000	3.138486171761281
688000	3.1385058139534885
689000	3.138298984034833
690000	3.1384289855072462
691000	3.1384833574529667
692000	3.1384450867052025
693000	3.1384877344877347
694000	3.1385821325648413
695000	3.138486330935252
696000	3.138362068965517
697000	3.138232424677188
698000	3.1382234957020056
699000	3.1382317596566525
700000	3.1382057142857143
701000	3.1382710413694723
702000	3.1382962962962964
703000	3.1383044096728305
704000	3.1382613636363637
705000	3.1382695035460992
706000	3.138186968838527
707000	3.1382461103253183
708000	3.1382542372881357
709000	3.138330042313117
710000	3.1382535211267606
711000	3.1382728551336148
712000	3.138438202247191
713000	3.138462833099579
714000	3.138593837535014
715000	3.1386293706293706
716000	3.1386871508379888
717000	3.13878940027894
718000	3.1388300835654595
719000	3.1388372739916552
720000	3.1387833333333335
721000	3.1387239944521497
722000	3.138709141274238
723000	3.138600276625173
724000	3.138624309392265
725000	3.138648275862069
726000	3.1386005509641874
727000	3.138497936726272
728000	3.1385054945054947
729000	3.1385294924554183
730000	3.138487671232877
731000	3.138560875512996
732000	3.138655737704918
733000	3.1387285129604368
734000	3.138708446866485
735000	3.1387755102040815
736000	3.138766304347826
737000	3.138784260515604
738000	3.1387425474254744
739000	3.138857916102842
740000	3.1388486486486484
741000	3.138920377867746
742000	3.138954177897574
743000	3.138971736204576
744000	3.1389139784946236
745000	3.1389906040268456
746000	3.138975871313673
747000	3.138987951807229
748000	3.1388877005347595
749000	3.1387716955941256
750000	3.1387306666666666
751000	3.138705725699068
752000	3.138840425531915
753000	3.138911022576361
754000	3.138976127320955
755000	3.1389721854304637
756000	3.138952380952381
757000	3.1389590488771466
758000	3.1389709762532982
759000	3.1389565217391304
760000	3.138884210526316
761000	3.1389067017082786
762000	3.1388608923884513
763000	3.138872870249017
764000	3.138806282722513
765000	3.1387450980392155
766000	3.1386788511749346
767000	3.1387379400260755
768000	3.138786458333333
769000	3.138850455136541
770000	3.1388727272727275
771000	3.138822308690013
772000	3.1387305699481867
773000	3.13875808538163
774000	3.138764857881137
775000	3.13872
776000	3.1387268041237113
777000	3.1386924066924067
778000	3.138745501285347
779000	3.138849807445443
780000	3.138728205128205
781000	3.1387144686299617
782000	3.138690537084399
783000	3.138681992337165
784000	3.138729591836735
785000	3.1386904458598726
786000	3.138697201017812
787000	3.1386836086404064
788000	3.13856345177665
789000	3.1385652724968316
790000	3.1385367088607596
791000	3.1386042983565106
792000	3.138520202020202
793000	3.138517023959647
794000	3.138478589420655
795000	3.138384905660377
796000	3.138462311557789
797000	3.1384692597239647
798000	3.138406015037594
799000	3.138322903629537
800000	3.138315
801000	3.138287141073658
802000	3.1383142144638403
803000	3.1383810709838107
804000	3.138273631840796
805000	3.138280745341615
806000	3.1382630272952854
807000	3.1383444857496903
808000	3.1384356435643563
809000	3.1383288009888752
810000	3.1382913580246914
811000	3.1383822441430334
812000	3.1384679802955664
813000	3.138509225092251
814000	3.1386093366093366
815000	3.138679754601227
816000	3.1386029411764707
817000	3.1385018359853123
818000	3.1385036674816624
819000	3.1386178266178266
820000	3.1386731707317073
821000	3.1386991473812422
822000	3.1386423357664235
823000	3.138595382746051
824000	3.138621359223301
825000	3.1386521212121212
826000	3.1386053268765135
827000	3.138577992744861
828000	3.1386038647342995
829000	3.1385765983112184
830000	3.1386168674698793
831000	3.138570397111913
832000	3.1386971153846153
833000	3.1386314525810324
834000	3.1386378896882494
835000	3.138677844311377
836000	3.138688995215311
837000	3.1386093189964157
838000	3.138706443914081
839000	3.1387556615017878
840000	3.1387238095238095
841000	3.1388014268727704
842000	3.138788598574822
843000	3.138818505338078
844000	3.1388436018957346
845000	3.138873372781065
846000	3.138917257683215
847000	3.1389799291617475
848000	3.138990566037736
849000	3.1389587750294465
850000	3.1389317647058825
851000	3.1389565217391304
852000	3.1389483568075116
853000	3.1388933177022276
854000	3.1388618266978923
855000	3.138825730994152
856000	3.1388504672897195
857000	3.138730455075846
858000	3.1386620046620046
859000	3.138584400465658
860000	3.138553488372093
861000	3.1385737514518004
862000	3.138524361948956
863000	3.1386048667439166
864000	3.138523148148148
865000	3.138635838150289
866000	3.1387113163972287
867000	3.138722029988466
868000	3.1387557603686638
869000	3.138771001150748
870000	3.1388
871000	3.1387921928817453
872000	3.1388394495412846
873000	3.138799541809851
874000	3.138828375286041
875000	3.1388251428571428
876000	3.138826484018265
877000	3.1388643101482328
878000	3.1389111617312073
879000	3.1389397042093288
880000	3.1390045454545454
881000	3.139060158910329
882000	3.138984126984127
883000	3.139053227633069
884000	3.1390452488687783
885000	3.13905988700565
886000	3.1390519187358916
887000	3.139098083427283
888000	3.139171171171171
889000	3.1391631046119235
890000	3.1392134831460674
891000	3.1393131313131315
892000	3.1393452914798208
893000	3.13931914893617
894000	3.139261744966443
895000	3.1393653631284915
896000	3.1393660714285714
897000	3.139348940914158
898000	3.1393452115812917
899000	3.1392480533926586
900000	3.1393066666666667
901000	3.139369589345172
902000	3.139436807095344
903000	3.13940642303433
904000	3.139367256637168
905000	3.139345856353591
906000	3.1394260485651215
907000	3.13948401323043
908000	3.1395947136563875
909000	3.1397095709570957
910000	3.1396835164835166
911000	3.1396136114160265
912000	3.139671052631579
913000	3.139697699890471
914000	3.1397155361050326
915000	3.13975956284153
916000	3.139825327510917
917000	3.1398909487459106
918000	3.139895424836601
919000	3.1397954298150164
920000	3.139786956521739
921000	3.1398697068403907
922000	3.1398481561822127
923000	3.139783315276273
924000	3.1397792207792206
925000	3.1397405405405405
926000	3.139758099352052
927000	3.139749730312837
928000	3.1397543103448275
929000	3.139707212055974
930000	3.139724731182796
931000	3.1396219119226636
932000	3.1395622317596565
933000	3.1394941050375134
934000	3.1395374732334047
935000	3.1395251336898395
